row_names,document,topic,gamma
237,Scene.It..Disney,21,0.1403508771929824
238,Scene.It..Squabble,21,0.1403508771929824
239,Trivial.Pursuit..DVD,21,0.1403508771929824
240,Scene.It..Friends.Deluxe.Edition,21,0.1403508771929824
241,Scene.it..Disney.Deluxe.Edition,21,0.1403508771929824
242,Scene.It..Disney.Second.Edition,21,0.1403508771929824
243,Scene.It..Deluxe.Disney.Channel.Edition,21,0.1403508771929824
244,Scene.It..Disney.Super.Game.Pack,21,0.1403508771929824
245,De.Vulgari.Eloquentia,22,0.234375
246,Renaissance,22,0.2153846153846154
247,Princes.of.the.Renaissance,22,0.2112676056338028
248,Machiavelli,22,0.2083333333333333
249,Princeps.Machiavelli,22,0.203125
250,Venetia,22,0.1666666666666666
251,Shogun.1,22,0.15625
252,Age.of.Renaissance,22,0.1525423728813559
253,Carcassonne..Wheel.of.Fortune,22,0.1403508771929824
254,The.Princes.of.Florence,22,0.1379310344827586
255,Domenica.Sportiva,23,0.1551724137931034
256,Formula.D,23,0.1451612903225806
257,Win..Place...Show,23,0.1379310344827586
258,Rules.of.the.Game,23,0.1379310344827586
259,Famous.First.Downs..The.World.s.Smallest.Football.Game,23,0.1333333333333333
260,Famous.Flagships..The.World.s.Smallest.Yacht.Racing.Game,23,0.1290322580645161
261,The.Tour,23,0.1272727272727272
262,Olympia,23,0.1272727272727272
263,Cyclo,23,0.1272727272727272
264,Mulligan.Dice.Golf,23,0.1272727272727272
265,Quixo,24,0.1694915254237288
266,Blokus,24,0.1475409836065573
267,Mini.Shogi,24,0.1428571428571428
268,Volo,24,0.1403508771929824
269,Let.s.Catch.the.Lion.,24,0.135593220338983
270,Tixel,24,0.135593220338983
271,Amazons,24,0.1272727272727272
272,Gonnect,24,0.1272727272727272
273,Avverso,24,0.1272727272727272
274,Pentactic,24,0.1272727272727272
275,Talpa,24,0.1272727272727272
276,Morelli,24,0.1272727272727272
277,Heptalion,24,0.1272727272727272
278,DuploHex,24,0.1272727272727272
279,CV,25,0.1186440677966101
280,Munchkin.Steampunk,25,0.1166666666666666
281,Munchkin,25,0.1145833333333333
282,Adventure.Time.Card.Wars..Princess.Bubblegum.vs..Lumpy.Space.Princess,25,0.109090909090909
283,Transformers.Battling.Card.Game,25,0.1071428571428571
284,Food.Fight.1,25,0.1071428571428571
285,Pirates.Code,25,0.1071428571428571
286,City.of.Iron,25,0.106060606060606
287,Ascension..Rise.of.Vigil,25,0.1052631578947368
288,Abyss,25,0.1034482758620689
